# topic=package-update-19-close-incident
# time=2026-09-12T17:47:41+00:00
$ uname -a
Linux localhost 6.18.35 #1 SMP Mon Aug 31 18:10:37 UTC 2026 x86_64 GNU/Linux
$ id
uid=0(root) gid=0(root) groups=0(root)
$ dpkg-query -W
adduser	3.152
libext2fs-dev	1.47.2-3+b11
libext2fs2t64:amd64	1.47.2-3+b11
libexttextcat-2.0-0:amd64	3.4.7-1+b1
libexttextcat-data	3.4.7-1
libfaad2:amd64	2.11.2-1
libfakeroot:amd64	1.37.1.1-1
libfbclient2:amd64	4.0.5.3140.ds6-17+deb13u1
libffi8:amd64	3.4.8-2
libfftw3-double3:amd64	3.3.10-2+b1
libfftw3-single3:amd64	3.3.10-2+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14:amd64	1.5.0+ds-2
libflite1:amd64	2.2-7
libfluidsynth3:amd64	2.4.4+dfsg-1+deb13u1
libflute-java	1:1.1.6-5
libfontconfig1:amd64	2.15.0-2.3
libfontenc1:amd64	1:1.1.8-1+b2
libfonts-java	1.1.6.dfsg2-1
libformula-java	1.1.7.dfsg-4
libfreeaptx0:amd64	0.2.2-1
libfreehand-0.1-1	0.1.2-3
libfreetype6:amd64	2.13.3+dfsg-1
libfreexl-dev:amd64	2.0.0-1+b3
libfreexl1:amd64	2.0.0-1+b3
libfribidi0:amd64	1.0.16-1
libfyba-dev:amd64	4.1.1-11+b1
libfyba0t64:amd64	4.1.1-11+b1
libgail-common:amd64	2.24.33-7
libgail18t64:amd64	2.24.33-7
libgav1-1:amd64	0.19.0-3+b1
libgbm1:amd64	25.0.7-2
libgcc-14-dev:amd64	14.2.0-19
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7
libgd3:amd64	2.3.3-13
libgdal-dev	3.10.3+dfsg-1
libgdal36:amd64	3.10.3+dfsg-1
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libgdk-pixbuf-2.0-0:amd64	2.42.12+dfsg-4
libgdk-pixbuf2.0-common	2.42.12+dfsg-4
libgeos-c1t64:amd64	3.13.1-1
libgeos-dev	3.13.1-1
libgeos3.13.1:amd64	3.13.1-1
libgeotiff-dev:amd64	1.7.4-1
libgeotiff5:amd64	1.7.4-1
libgfortran-14-dev:amd64	14.2.0-19
libgfortran5:amd64	14.2.0-19
libgif-dev:amd64	5.2.2-1+deb13u1
libgif7:amd64	5.2.2-1+deb13u1
libgl1:amd64	1.7.0-1+b2
libgl1-mesa-dri:amd64	25.0.7-2
libglew2.2:amd64	2.2.0-4+b2
libglib2.0-0t64:amd64	2.84.4-3~deb13u2
libglu1-mesa:amd64	9.0.2-1.1+b3
libglvnd0:amd64	1.7.0-1+b2
libglx-mesa0:amd64	25.0.7-2
libglx0:amd64	1.7.0-1+b2
libgme0:amd64	0.6.3-7+b2
libgmp-dev:amd64	2:6.3.0+dfsg-3
libgmp10:amd64	2:6.3.0+dfsg-3
libgmpxx4ldbl:amd64	2:6.3.0+dfsg-3
libgnutls-dane0t64:amd64	3.8.9-3+deb13u4
libgnutls-openssl27t64:amd64	3.8.9-3+deb13u4
libgnutls28-dev:amd64	3.8.9-3+deb13u4
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgomp1:amd64	14.2.0-19
libgpg-error0:amd64	1.51-4
libgpgme11t64:amd64	1.24.2-3
libgpgmepp6t64:amd64	1.24.2-3
libgpm2:amd64	1.20.7-11+b2
libgprofng0:amd64	2.44-3
libgraphite2-3:amd64	1.3.14-2+b1
libgraphviz-dev:amd64	2.42.4-3
libgs-common	10.05.1~dfsg-1+deb13u1
libgs10:amd64	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1
libgsm1:amd64	1.0.22-1+b2
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libgssdp-1.6-0:amd64	1.6.4-1~deb13u1
libgssrpc4t64:amd64	1.21.3-5+deb13u1
libgstreamer-gl1.0-0:amd64	1.26.2-1
libgstreamer-plugins-bad1.0-0:amd64	1.26.2-3
libgstreamer-plugins-base1.0-0:amd64	1.26.2-1
libgstreamer1.0-0:amd64	1.26.2-2
libgtk-3-0t64:amd64	3.24.49-3
libgtk-3-common	3.24.49-3
libgtk2.0-0t64:amd64	2.24.33-7
libgtk2.0-bin	2.24.33-7
libgtk2.0-common	2.24.33-7
libgts-0.7-5t64:amd64	0.7.6+darcs121130-5.2+b1
libgts-bin	0.7.6+darcs121130-5.2+b1
libgudev-1.0-0:amd64	238-6
libgupnp-1.6-0:amd64	1.6.8-2
libgupnp-igd-1.6-0:amd64	1.6.0-4+b1
